Date,Campaign name,Ad set name,Age,Gender,Amount spent (USD),country,audience description,Total investment,Ad revenue
2018-07-24,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryP22C",18-24,female,0.05,CA,"Lookalike (CA, 2%) - rainfactoryP22C",0.4299999999999999,0.0
2018-07-26,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryP22C",18-24,female,0.03,CA,"Lookalike (CA, 2%) - rainfactoryP22C",0.4599999999999999,0.0
2018-07-28,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryP22C",18-24,female,0.07,CA,"Lookalike (CA, 2%) - rainfactoryP22C",0.5299999999999998,0.0
2018-07-30,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryP22C",18-24,female,0.0,CA,"Lookalike (CA, 2%) - rainfactoryP22C",0.5299999999999998,0.0
2018-07-31,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryP22C",18-24,female,0.02,CA,"Lookalike (CA, 2%) - rainfactoryP22C",0.5499999999999998,0.0
2018-08-01,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryP22C",18-24,female,0.1,CA,"Lookalike (CA, 2%) - rainfactoryP22C",0.6499999999999998,0.0
2018-08-02,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryP22C",18-24,female,0.09,CA,"Lookalike (CA, 2%) - rainfactoryP22C",0.7399999999999998,0.0
2018-08-03,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryP22C",18-24,female,0.03,CA,"Lookalike (CA, 2%) - rainfactoryP22C",0.7699999999999998,0.0
2018-08-04,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryP22C",18-24,female,0.1,CA,"Lookalike (CA, 2%) - rainfactoryP22C",0.0,0.0
2018-08-05,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryP22C",18-24,female,0.09,CA,"Lookalike (CA, 2%) - rainfactoryP22C",0.0,0.0
2018-08-06,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryP22C",18-24,female,0.06,CA,"Lookalike (CA, 2%) - rainfactoryP22C",0.0,0.0
2018-08-07,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryP22C",18-24,female,0.01,CA,"Lookalike (CA, 2%) - rainfactoryP22C",0.0,0.0
2018-07-12,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryS71C",18-24,female,0.05,CA,"Lookalike (CA, 2%) - rainfactoryS71C",0.05,0.0
2018-07-13,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryS71C",18-24,female,0.13,CA,"Lookalike (CA, 2%) - rainfactoryS71C",0.18,0.0
2018-07-14,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryS71C",18-24,female,0.17,CA,"Lookalike (CA, 2%) - rainfactoryS71C",0.35,0.0
2018-07-15,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryS71C",18-24,female,0.15,CA,"Lookalike (CA, 2%) - rainfactoryS71C",0.5,0.0
2018-07-16,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryS71C",18-24,female,0.23,CA,"Lookalike (CA, 2%) - rainfactoryS71C",0.73,0.0
2018-07-17,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryS71C",18-24,female,0.15,CA,"Lookalike (CA, 2%) - rainfactoryS71C",0.88,0.0
2018-07-18,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryS71C",18-24,female,0.29,CA,"Lookalike (CA, 2%) - rainfactoryS71C",1.17,0.0
2018-07-19,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryS71C",18-24,female,0.16,CA,"Lookalike (CA, 2%) - rainfactoryS71C",1.3299999999999998,0.0
2018-07-20,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryS71C",18-24,female,0.11,CA,"Lookalike (CA, 2%) - rainfactoryS71C",1.44,0.0
2018-07-21,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryS71C",18-24,female,0.3,CA,"Lookalike (CA, 2%) - rainfactoryS71C",1.74,0.0
2018-07-22,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryS71C",18-24,female,0.21,CA,"Lookalike (CA, 2%) - rainfactoryS71C",1.95,0.0
2018-07-23,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryS71C",18-24,female,0.21,CA,"Lookalike (CA, 2%) - rainfactoryS71C",2.16,0.0
2018-07-24,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryS71C",18-24,female,0.4,CA,"Lookalike (CA, 2%) - rainfactoryS71C",2.56,0.0
2018-07-25,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryS71C",18-24,female,0.33,CA,"Lookalike (CA, 2%) - rainfactoryS71C",2.89,0.0
2018-07-26,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryS71C",18-24,female,0.19,CA,"Lookalike (CA, 2%) - rainfactoryS71C",3.08,0.0
2018-07-27,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryS71C",18-24,female,0.26,CA,"Lookalike (CA, 2%) - rainfactoryS71C",3.34,0.0
